"TIMESTAMP","MODEL","PATH","USER","TOKENS","COST","CACHE STATUS","SCORE","TRACE ID"
"Sep 09, 06:28:21 AM","gpt-4o-2024-08-06","","","2295","0.6285 cents","DISABLED","0","db62d9d8-c21d-4b82-8469-8ae529469843"
"Sep 09, 06:28:18 AM","gpt-4o-2024-08-06","","","2528","0.6823 cents","DISABLED","0","db62d9d8-c21d-4b82-8469-8ae529469843"
"Sep 09, 06:28:16 AM","gpt-4o-2024-08-06","","","2056","0.5657 cents","DISABLED","0","db62d9d8-c21d-4b82-8469-8ae529469843"
"Sep 09, 06:28:14 AM","gpt-4o-mini","","","280","0.0046 cents","DISABLED","0","db62d9d8-c21d-4b82-8469-8ae529469843"
"Sep 09, 06:28:14 AM","gpt-4o-2024-08-06","","","2543","0.6522 cents","DISABLED","0","db62d9d8-c21d-4b82-8469-8ae529469843"
"Sep 09, 06:28:12 AM","gpt-4o-2024-08-06","","","2599","0.7 cents","DISABLED","0","db62d9d8-c21d-4b82-8469-8ae529469843"
"Sep 09, 06:28:09 AM","gpt-4o-2024-08-06","","","2651","0.7242 cents","DISABLED","0","db62d9d8-c21d-4b82-8469-8ae529469843"
"Sep 09, 06:28:07 AM","gpt-4o-2024-08-06","","","1982","0.5353 cents","DISABLED","0","db62d9d8-c21d-4b82-8469-8ae529469843"
"Sep 09, 06:28:03 AM","gpt-4o-mini","","","311","0.0053 cents","DISABLED","0","db62d9d8-c21d-4b82-8469-8ae529469843"
"Sep 09, 06:28:03 AM","gpt-4o-2024-08-06","","","2601","0.6863 cents","DISABLED","0","db62d9d8-c21d-4b82-8469-8ae529469843"
"Sep 09, 06:28:00 AM","gpt-4o-2024-08-06","","","2661","0.7058 cents","DISABLED","0","db62d9d8-c21d-4b82-8469-8ae529469843"
"Sep 09, 06:27:58 AM","gpt-4o-2024-08-06","","","2317","0.625 cents","DISABLED","0","db62d9d8-c21d-4b82-8469-8ae529469843"
"Sep 09, 06:27:55 AM","gpt-4o-2024-08-06","","","2313","0.6457 cents","DISABLED","0","db62d9d8-c21d-4b82-8469-8ae529469843"
